ds,yhat,yhat_lower,yhat_upper,y
2014-03-25,58.503150140492096,-25.85931474931732,146.41269792164476,45.0
2014-03-26,79.73752782287154,-5.617492338507208,157.877894030106,25.0
2014-03-27,61.30201125467431,-21.55769035966634,150.46147671403708,25.0
2014-03-28,70.34796460517657,-12.11287922098232,158.4963569679715,174.0
2014-03-29,119.21583882128482,32.91876963570711,203.23463831039822,138.0
2014-03-30,71.4160918858791,-12.292260070050682,153.12633536523674,64.0
2014-03-31,41.04611226931929,-42.41886236437722,124.07553337595039,77.0
2014-04-01,36.7382442410077,-47.5595735322677,124.90788898653007,62.0
2014-04-02,59.43974279722197,-24.945377736183843,144.72091152845277,119.0
2014-04-03,42.95411110478974,-38.71117919382464,128.43045308681513,89.0
2014-04-04,54.385732638814375,-36.333424640399315,141.2936513623702,133.0
